,Date,RecordedValue,SiteID
1013,2021-10-15,15.84066097,41O 04850
1014,2021-10-16,15.31141271,41O 04850
1015,2021-10-17,14.70918016,41O 04850
1016,2021-10-18,14.53215554,41O 04850
1017,2021-10-19,14.63496078,41O 04850
1018,2021-10-20,14.6375406,41O 04850
1019,2021-10-21,14.65622947,41O 04850
1020,2021-10-22,15.43251105,41O 04850
1021,2021-10-23,15.01326348,41O 04850
1022,2021-10-24,15.1845889,41O 04850
1023,2021-10-25,15.47766779,41O 04850
1024,2021-10-26,15.00953802,41O 04850
1025,2021-10-27,13.5347313,41O 04850
1026,2021-10-28,11.49508113,41O 04850
1027,2021-10-29,11.32013164,41O 04850
1028,2021-10-30,11.77947056,41O 04850
1029,2021-10-31,11.9901228,41O 04850
1030,2021-11-01,11.68525358,41O 04850
1031,2021-11-02,11.3110504,41O 04850
1032,2021-11-03,10.94975858,41O 04850
1033,2021-11-04,10.76830653,41O 04850
1034,2021-11-05,10.72539193,41O 04850
1035,2021-11-06,10.71951114,41O 04850
1036,2021-11-07,10.83169074,41O 04850
1037,2021-11-08,10.88421059,41O 04850
1038,2021-11-09,10.76308917,41O 04850
1039,2021-11-10,10.73542006,41O 04850
1040,2021-11-11,12.21419479,41O 04850
1041,2021-11-12,10.8504421,41O 04850
1042,2021-11-13,10.61390522,41O 04850
1043,2021-11-14,11.10930465,41O 04850
1044,2021-11-15,10.96578883,41O 04850
1045,2021-11-16,11.0223417,41O 04850
1046,2021-11-17,13.12464324,41O 04850
1047,2021-11-18,15.44689336,41O 04850
1048,2021-11-19,15.7617445,41O 04850
1049,2021-11-20,17.09160999,41O 04850
1050,2021-11-21,14.94622118,41O 04850
1051,2021-11-22,14.99381019,41O 04850
1052,2021-11-23,14.71291154,41O 04850
1053,2021-11-24,15.77596159,41O 04850
1054,2021-11-25,16.35728227,41O 04850
1055,2021-11-26,16.29197334,41O 04850
1056,2021-11-27,15.14669206,41O 04850
1057,2021-11-28,15.46103399,41O 04850
1058,2021-11-29,14.23605233,41O 04850
1059,2021-11-30,14.97920181,41O 04850
757,2022-01-20,,41O 04850
1060,2022-03-12,19.00531251,41O 04850
1061,2022-03-13,19.10411489,41O 04850
1062,2022-03-14,17.3188481,41O 04850
1063,2022-03-15,15.76735599,41O 04850
1064,2022-03-16,13.94281988,41O 04850
1065,2022-03-17,12.9271199,41O 04850
1066,2022-03-18,12.21530691,41O 04850
1067,2022-03-19,11.92759413,41O 04850
1068,2022-03-20,11.56464525,41O 04850
1069,2022-03-21,11.33885363,41O 04850
1070,2022-03-22,11.10517048,41O 04850
1071,2022-03-23,10.87067262,41O 04850
1072,2022-03-24,10.85608616,41O 04850
1073,2022-03-25,11.23708796,41O 04850
1074,2022-03-26,11.1279568,41O 04850
1075,2022-03-27,11.02934051,41O 04850
1076,2022-03-28,10.95842655,41O 04850
1077,2022-03-29,11.24331095,41O 04850
1078,2022-03-30,12.19317086,41O 04850
1079,2022-03-31,11.67587194,41O 04850
1080,2022-04-01,12.3279073,41O 04850
1081,2022-04-02,12.15331352,41O 04850
1082,2022-04-03,11.77253999,41O 04850
1083,2022-04-04,11.91322953,41O 04850
1084,2022-04-05,12.83301293,41O 04850
1085,2022-04-06,11.85922969,41O 04850
1086,2022-04-07,11.58229746,41O 04850
1087,2022-04-08,11.30254998,41O 04850
1088,2022-04-09,11.1573605,41O 04850
1089,2022-04-10,12.0016904,41O 04850
1090,2022-04-11,14.8409884,41O 04850
1091,2022-04-12,14.6285145,41O 04850
1092,2022-04-13,13.39081679,41O 04850
